date,code,name,sector,themes,status,close,ma25,range_days,range_lower,range_upper,range_position,distance_to_lower_pct,lower_touch_count,prev_high,rebound_confirmed,volume_state,initial_stop,reason
2026-08-20,9107,川崎汽船,海運業,造船・海運,NEAR,3174.00,2868.02,3,3117.00,3210.00,0.613,1.83,1,3210.00,false,neutral,3101.41,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+1.8% / 反発確認まだ
2026-08-20,1820,西松建設,建設業,建設・国土強靭化,NEAR,5482.00,5371.64,7,5368.00,5587.00,0.521,2.12,2,5500.00,false,neutral,5341.16,上昇トレンド / レンジ7日 / 下限反応2回 / 下限まで+2.1% / 反発確認まだ
2026-08-20,8001,伊藤忠,卸売業,商社・資源,RANGE,2004.00,2001.22,3,1959.50,2015.50,0.795,2.27,1,1992.50,true,neutral,1949.70,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+2.3% / 反発確認OK
2026-08-20,9513,J-POWER,電気・ガス業,電力・エネルギーインフラ,RANGE,3935.00,3834.92,10,3820.00,3977.00,0.732,3.01,2,3955.00,false,contracting,3800.90,上昇トレンド / レンジ10日 / 下限反応2回 / 下限まで+3.0% / 反発確認まだ
2026-08-20,6770,アルプスアルパイン,電気機器,電子部品・AI端末,RANGE,2187.00,2158.30,3,2109.50,2225.00,0.671,3.67,1,2178.00,true,neutral,2098.95,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+3.7% / 反発確認OK
2026-08-20,5703,日本軽金属HD,非鉄金属,非鉄・資源素材,RANGE,3040.00,2817.00,8,2908.00,3140.00,0.569,4.54,1,3080.00,false,contracting,2893.46,上昇トレンド / レンジ8日 / 下限反応1回 / 下限まで+4.5% / 反発確認まだ
2026-08-20,9101,日本郵船,海運業,造船・海運,RANGE,6795.00,6089.52,3,6495.00,6893.00,0.754,4.62,1,6893.00,false,expanding,6462.52,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+4.6% / 反発確認まだ
2026-08-20,9104,商船三井,海運業,造船・海運,RANGE,6957.00,6082.44,3,6645.00,7028.00,0.815,4.70,1,6986.00,false,expanding,6611.77,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+4.7% / 反発確認まだ
2026-08-20,6701,NEC,電気機器,AIインフラ・通信|宇宙・衛星,RANGE,4820.00,4636.84,3,4551.00,4855.00,0.885,5.91,1,4677.00,true,neutral,4528.24,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+5.9% / 反発確認OK
2026-08-20,5713,住友金属鉱山,非鉄金属,非鉄・資源素材,OUT,10630.00,8465.84,,,,,,,9891.00,true,unknown,,"株価 10,630円 が対象レンジ 2,000円〜7,000円 の外"
2026-08-20,5711,三菱マテリアル,非鉄金属,非鉄・資源素材,OUT,5345.00,4545.48,,,,,,,5215.00,true,unknown,,"品質を満たすレンジがない（最良は4日 window（値幅が広すぎる（10.2% > 10.0%） / 安値が3本連続で切り下がり（5,227→5,206→5,005）））"
2026-08-20,5707,東邦亜鉛,非鉄金属,非鉄・資源素材,OUT,1154.00,922.84,,,,,,,1096.00,true,unknown,,"株価 1,154円 が対象レンジ 2,000円〜7,000円 の外"
2026-08-20,5805,SWCC,非鉄金属,電線・データセンター,OUT,14010.00,12244.00,,,,,,,14340.00,false,unknown,,"株価 14,010円 が対象レンジ 2,000円〜7,000円 の外"
2026-08-20,6857,アドバンテスト,電気機器,半導体・生成AI,OUT,35360.00,31762.00,,,,,,,36300.00,false,unknown,,"株価 35,360円 が対象レンジ 2,000円〜7,000円 の外"
2026-08-20,3778,さくらインターネット,情報・通信業,AIインフラ・通信,OUT,3570.00,3286.56,,,,,,,4280.00,false,unknown,,品質を満たすレンジがない（最良は9日 window（値幅が広すぎる（32.4% > 10.0%） / 日々の値幅が拡大中（後半/前半 1.75 > 1.15）））
2026-08-20,5714,DOWA HD,非鉄金属,非鉄・資源素材,OUT,9789.00,8728.60,,,,,,,9567.00,true,unknown,,"株価 9,789円 が対象レンジ 2,000円〜7,000円 の外"
2026-08-20,9506,東北電力,電気・ガス業,電力・エネルギーインフラ,OUT,1312.00,1197.16,3,1261.00,1320.00,0.864,,1,1300.00,true,expanding,,"株価 1,312円 が対象レンジ 2,000円〜7,000円 の外"
2026-08-20,5803,フジクラ,非鉄金属,電線・データセンター,OUT,5341.00,4895.88,,,,,,,5627.00,false,unknown,,"品質を満たすレンジがない（最良は10日 window（値幅が広すぎる（46.9% > 10.0%） / 安値が3本連続で切り下がり（5,872→5,292→5,201）））"
2026-08-20,4689,LINEヤフー,情報・通信業,AIインフラ・通信,OUT,517.50,467.98,4,487.10,517.50,1.000,,1,505.00,true,contracting,,"株価 518円 が対象レンジ 2,000円〜7,000円 の外"
