date,code,name,sector,themes,status,close,ma25,range_days,range_lower,range_upper,range_position,distance_to_lower_pct,lower_touch_count,prev_high,rebound_confirmed,volume_state,initial_stop,reason
2026-09-02,5838,楽天銀行,銀行業,銀行・金利上昇,NEAR,6288.00,5953.24,6,6288.00,6598.00,0.000,0.00,2,6487.00,false,neutral,6256.56,上昇トレンド / レンジ6日 / 下限反応2回 / 下限まで+0.0% / 反発確認まだ
2026-09-02,7203,トヨタ,輸送用機器,自動車・円安,NEAR,3133.00,3053.54,3,3116.00,3269.00,0.111,0.55,2,3269.00,false,expanding,3100.42,上昇トレンド / レンジ3日 / 下限反応2回 / 下限まで+0.5% / 反発確認まだ
2026-09-02,7270,SUBARU,輸送用機器,自動車・円安,NEAR,2666.00,2625.04,3,2644.50,2749.00,0.206,0.81,2,2749.00,false,neutral,2631.28,上昇トレンド / レンジ3日 / 下限反応2回 / 下限まで+0.8% / 反発確認まだ
2026-09-02,9107,川崎汽船,海運業,造船・海運,RANGE,3346.00,3088.30,6,3250.00,3425.00,0.549,2.95,1,3413.00,false,contracting,3233.75,上昇トレンド / レンジ6日 / 下限反応1回 / 下限まで+3.0% / 反発確認まだ
2026-09-02,6702,富士通,電気機器,AIインフラ・通信,RANGE,3801.00,3710.72,7,3680.00,3991.00,0.389,3.29,2,3991.00,false,neutral,3661.60,上昇トレンド / レンジ7日 / 下限反応2回 / 下限まで+3.3% / 反発確認まだ
2026-09-02,8308,りそなHD,銀行業,銀行・金利上昇,RANGE,2517.50,2373.66,6,2421.00,2553.50,0.728,3.99,1,2553.50,false,neutral,2408.89,上昇トレンド / レンジ6日 / 下限反応1回 / 下限まで+4.0% / 反発確認まだ
2026-09-02,9503,関西電力,電気・ガス業,電力・エネルギーインフラ,OUT,2903.00,2512.70,,,,,,,2956.50,false,unknown,,品質を満たすレンジがない（最良は3日 window（レンジ品質が不足（0.35 < 0.45）））
2026-09-02,9508,九州電力,電気・ガス業,電力・エネルギーインフラ,OUT,2123.00,1900.62,,,,,,,2192.50,false,unknown,,"品質を満たすレンジがない（最良は8日 window（値幅が広すぎる（14.5% > 10.0%） / 安値が3本連続で切り下がり（1,958→1,950→1,928） / 日々の値幅が拡大中（後半/前半 2.56 > 1.15）））"
2026-09-02,4689,LINEヤフー,情報・通信業,AIインフラ・通信,OUT,534.40,504.25,,,,,,,567.50,false,unknown,,"株価 534円 が対象レンジ 2,000円〜7,000円 の外"
2026-09-02,5711,三菱マテリアル,非鉄金属,非鉄・資源素材,OUT,5345.00,5121.88,,,,,,,5926.00,false,unknown,,品質を満たすレンジがない（最良は9日 window（値幅が広すぎる（15.8% > 10.0%） / 日々の値幅が拡大中（後半/前半 1.33 > 1.15）））
