date,code,name,sector,themes,status,close,ma25,range_days,range_lower,range_upper,range_position,distance_to_lower_pct,lower_touch_count,prev_high,rebound_confirmed,volume_state,initial_stop,reason
2026-08-24,5838,楽天銀行,銀行業,銀行・金利上昇,ENTRY_CANDIDATE,6217.00,5699.60,4,5884.00,6405.00,0.639,5.66,1,6130.00,true,contracting,5854.58,上昇トレンド / レンジ4日 / 下限反応1回 / 下限まで+5.7% / 反発確認OK
2026-08-24,3778,さくらインターネット,情報・通信業,AIインフラ・通信,NEAR,3465.00,3331.56,3,3450.00,3750.00,0.050,0.43,1,3750.00,false,contracting,3432.75,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+0.4% / 反発確認まだ
2026-08-24,6645,オムロン,電気機器,電子部品・AI端末,NEAR,6307.00,6042.72,3,6236.00,6433.00,0.360,1.14,1,6387.00,false,contracting,6204.82,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+1.1% / 反発確認まだ
2026-08-24,6701,NEC,電気機器,AIインフラ・通信|宇宙・衛星,NEAR,4707.00,4662.92,3,4641.00,4855.00,0.308,1.42,1,4836.00,false,contracting,4617.80,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+1.4% / 反発確認まだ
2026-08-24,8308,りそなHD,銀行業,銀行・金利上昇,NEAR,2371.00,2325.98,4,2318.00,2459.50,0.375,2.29,1,2390.50,false,neutral,2306.41,上昇トレンド / レンジ4日 / 下限反応1回 / 下限まで+2.3% / 反発確認まだ
2026-08-24,5703,日本軽金属HD,非鉄金属,非鉄・資源素材,NEAR,3050.00,2840.64,6,2963.00,3140.00,0.492,2.94,2,3050.00,false,neutral,2948.18,上昇トレンド / レンジ6日 / 下限反応2回 / 下限まで+2.9% / 反発確認まだ
2026-08-24,9513,J-POWER,電気・ガス業,電力・エネルギーインフラ,RANGE,3973.00,3859.76,6,3886.00,4003.00,0.744,2.24,2,3977.00,false,neutral,3866.57,上昇トレンド / レンジ6日 / 下限反応2回 / 下限まで+2.2% / 反発確認まだ
2026-08-24,6752,パナソニックHD,電気機器,電子部品・AI端末,RANGE,4348.00,4229.12,3,4224.00,4401.00,0.701,2.94,1,4337.00,true,contracting,4202.88,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+2.9% / 反発確認OK
2026-08-24,1820,西松建設,建設業,建設・国土強靭化,RANGE,5551.00,5388.92,9,5368.00,5587.00,0.836,3.41,2,5488.00,true,neutral,5341.16,上昇トレンド / レンジ9日 / 下限反応2回 / 下限まで+3.4% / 反発確認OK
2026-08-24,8058,三菱商事,卸売業,商社・資源,RANGE,4793.00,4773.36,3,4633.00,4801.00,0.952,3.45,1,4794.00,false,contracting,4609.84,上昇トレンド / レンジ3日 / 下限反応1回 / 下限まで+3.5% / 反発確認まだ
